"DATE","tmax","tmin","rain","wind","relative_humidity","atm_trans","Kdown_direct","Kdown_diffuse","vpd"
1940-04-13,6.1,-3.6,0,6.21,0.4,0.65978,13989.6,9208.8,-999
1940-04-14,10.1,-2.2,0,3.59,0.46,0.78151,23626.8,4003.2,-999
1940-04-15,22.4,2.6,0.0048,1.54,0.67,0.49423,10242,7326,-999
1940-04-16,22.8,7.7,0.001,1.69,0.85,0.54611,11779.2,7736.4,-999
1940-04-17,21.6,11.6,0.0117,1.57,0.9,0.43665,6962.4,8722.8,-999
1940-04-18,21.8,15.4,0.0041,2.82,0.86,0.36234,4320,8762.4,-999
1940-04-19,16.6,11.7,0.0378,2.52,0.98,0.08681,10.8,3139.2,-999
1940-04-20,17.6,11.7,0.0581,1.61,0.95,0.29587,3283.2,7506,-999
1940-04-21,12.5,4.6,0.0045,5.66,0.75,0.57495,14090.4,6976.8,-999
1940-04-22,15,3,0,5.34,0.44,0.76841,24192,4096.8,-999
1940-04-23,17.2,1.9,5e-04,1.97,0.64,0.51111,10375.2,8528.4,-999
1940-04-24,13.5,7.6,0.0075,2.5,0.82,0.38875,5252.4,9190.8,-999
1940-04-25,17.4,4.4,1e-04,1.36,0.71,0.4565,8683.2,8352,-999
1940-04-26,17.4,5.9,0,1.79,0.71,0.46835,10494,7059.6,-999
1940-04-27,15.6,5.9,4e-04,1.97,0.63,0.49488,8658,9968.4,-999
1940-04-28,18,3.1,0,1.11,0.56,0.75906,24415.2,4273.2,-999
1940-04-29,20.8,4.8,0,2.09,0.62,0.74537,23914.8,4370.4,-999
1940-04-30,21.4,8.7,5e-04,2.39,0.76,0.42002,8931.6,7070.4,-999
1940-05-01,17.7,11.2,0.004,3.96,0.9,0.19927,655.2,6966,-999
1940-05-02,15.4,4.8,0.0026,2.88,0.7,0.47515,9932.4,8308.8,-999
1940-05-03,12.2,5.6,5e-04,3.98,0.62,0.47061,7610.4,10522.8,-999
1940-05-04,10.5,3.1,0,5.18,0.64,0.50346,8877.6,10591.2,-999
1940-05-05,20.7,4.6,0,2.75,0.64,0.7416,24292.8,4485.6,-999
1940-05-06,26.4,6.6,0,2.25,0.73,0.53892,12312,8672.4,-999
1940-05-07,26.7,17.4,0,3.57,0.75,0.53971,12870,8215.2,-999
1940-05-08,29.4,12.8,0.0044,1.87,0.8,0.62715,18601.2,5979.6,-999
1940-05-09,24.4,14.9,4e-04,3.46,0.83,0.57711,14540.4,8150.4,-999
1940-05-10,18.2,10.2,0.0018,1.86,0.69,0.47622,9410.4,9370.8,-999
1940-05-11,18.2,9.1,0.0027,2.53,0.7,0.60804,17175.6,6876,-999
1940-05-12,19.7,6.2,0,2.58,0.56,0.74505,25030.8,4525.2,-999
1940-05-13,25.1,7.6,0,3.08,0.65,0.73138,24256.8,4838.4,-999
1940-05-14,27.8,12.3,0,2.86,0.67,0.72109,23882.4,4881.6,-999
1940-05-15,26.1,15.8,1e-04,3.93,0.6,0.59173,17438.4,6228,-999
1940-05-16,22.2,14.7,0.0034,2.04,0.66,0.55719,15451.2,6890.4,-999
1940-05-17,21.4,10,0,3.09,0.59,0.69409,21063.6,6836.4,-999
1940-05-18,26.4,9.1,0,1.48,0.68,0.62337,17636.4,7480.8,-999
1940-05-19,28.9,15.1,0,2.84,0.68,0.68344,21553.2,6048,-999
1940-05-20,25.9,16,0.007,1.5,0.78,0.42434,8578.8,8596.8,-999
1940-05-21,24.7,12,0.0012,1.46,0.87,0.48831,12063.6,7743.6,-999
1940-05-22,25.7,15.7,5e-04,1.33,0.8,0.49536,12812.4,7322.4,-999
1940-05-23,27.6,15.3,0.0069,1.27,0.82,0.51206,12834,8020.8,-999
1940-05-24,22.4,17.2,0.0404,3.2,0.97,0.20847,1519.2,6987.6,-999
1940-05-25,22.5,12.4,0.0055,2.53,0.78,0.55462,15472.8,7200,-999
1940-05-26,24.2,11.6,0.0064,1.69,0.89,0.51998,12988.8,8305.2,-999
1940-05-27,22.7,14,0.0022,2.01,0.76,0.58379,16398,7549.2,-999
1940-05-28,21.3,12,2e-04,2.07,0.69,0.47184,9504,9882,-999
1940-05-29,23.9,10.8,3e-04,1.75,0.72,0.51302,13644,7466.4,-999
1940-05-30,18.2,13.6,0.0285,3.51,0.97,0.08299,57.6,3362.4,-999
1940-05-31,23.5,11.1,1e-04,1.91,0.79,0.49692,12074.4,8431.2,-999
1940-06-01,23.2,12.5,0,2.2,0.77,0.54672,15058.8,7531.2,-999
1940-06-02,24.2,11.7,1e-04,1.94,0.74,0.5659,15908.4,7502.4,-999
1940-06-03,25.3,12.7,1e-04,1.23,0.76,0.56898,16711.2,6854.4,-999
1940-06-04,27,14.8,0.0031,1.4,0.82,0.57558,17337.6,6526.8,-999
1940-06-05,27.8,16.5,0.0015,1.78,0.85,0.58255,17463.6,6714,-999
1940-06-06,30.1,16.2,0,2.36,0.76,0.64353,21186,5547.6,-999
1940-06-07,30.4,17.3,0,1.41,0.74,0.61034,19137.6,6238.8,-999
1940-06-08,31,19,0.002,1.23,0.81,0.57759,16329.6,7704,-999
1940-06-09,29,19.3,0.0038,1.04,0.92,0.44732,10641.6,7984.8,-999
1940-06-10,27.2,19.6,0.0125,0.98,0.93,0.41585,7153.2,10173.6,-999
1940-06-11,25.2,20.1,0.0159,0.73,0.95,0.35983,5922,9079.2,-999
1940-06-12,29.6,18.6,0.0122,1.16,0.89,0.52967,14036.4,8056.8,-999
1940-06-13,29.7,18.7,0.0015,2.13,0.88,0.55231,16531.2,6516,-999
1940-06-14,29.1,19.4,0.0033,1.49,0.83,0.51624,12794.4,8755.2,-999
1940-06-15,29.3,19.7,0.0035,2.66,0.81,0.47781,9504,10447.2,-999
1940-06-16,27.2,20.6,0.0047,1.63,0.82,0.38238,6739.2,9230.4,-999
1940-06-17,24.8,19.7,0.0198,1.17,0.95,0.20555,1958.4,6627.6,-999
1940-06-18,28.4,20.1,4e-04,2.45,0.86,0.5494,15480,7470,-999
1940-06-19,28.6,19.4,2e-04,3.17,0.77,0.58499,17175.6,7261.2,-999
1940-06-20,24.4,18.2,0,3.64,0.7,0.67768,20721.6,7585.2,-999
1940-06-21,23.1,11.7,0,1.63,0.61,0.70053,22590,6667.2,-999
1940-06-22,24,12.1,1e-04,1.88,0.79,0.47807,10180.8,9781.2,-999
1940-06-23,30.1,16.6,0,2.22,0.75,0.57954,17100,7092,-999
1940-06-24,31.9,21.3,2e-04,3.73,0.7,0.61598,18795.6,6908.4,-999
1940-06-25,25.6,17.5,0.0038,3.35,0.68,0.59501,16642.8,8175.6,-999
1940-06-26,23.4,16.1,0,3.88,0.61,0.63183,19580.4,6760.8,-999
1940-06-27,29.3,15.8,0.001,2.83,0.63,0.58708,15660,8802,-999
1940-06-28,31.2,18.6,1e-04,3.05,0.71,0.4876,11361.6,8942.4,-999
1940-06-29,27.8,20.4,0.0015,4.47,0.71,0.54946,16347.6,6516,-999
1940-06-30,23.5,14.4,0,4.24,0.6,0.71829,24544.8,5320.8,-999
1940-07-01,26.4,15.7,0,3.7,0.62,0.59082,15768,8776.8,-999
1940-07-02,24.9,16.9,3e-04,1.6,0.7,0.39838,7999.2,8535.6,-999
1940-07-03,22.3,17.7,0.003,1.79,0.8,0.15888,669.6,5918.4,-999
1940-07-04,23.3,17.3,0.0124,1.22,0.87,0.33696,4161.6,9795.6,-999
1940-07-05,24.9,12.7,0,1.93,0.66,0.67313,20746.8,7102.8,-999
1940-07-06,24.3,13.9,0,1.59,0.63,0.60904,14490,10677.6,-999
1940-07-07,24.5,14.8,0,1.31,0.7,0.44522,8254.8,10119.6,-999
1940-07-08,25.2,16.6,0,0.76,0.73,0.31733,4708.8,8370,-999
1940-07-09,26.9,16.5,9e-04,1.13,0.82,0.4475,8744.4,9673.2,-999
1940-07-10,28,18,0.0114,1.36,0.91,0.49837,10904.4,9576,-999
1940-07-11,29.3,18.8,0.0044,1.63,0.86,0.57593,16362,7268.4,-999
1940-07-12,25.7,20,0.0042,2.24,0.87,0.40787,8398.8,8308.8,-999
1940-07-13,22.5,16.4,0.0052,2.07,0.85,0.20776,882,7614,-999
1940-07-14,24.3,14.7,0,1.22,0.69,0.56788,14713.2,8467.2,-999
1940-07-15,25.6,14.4,2e-04,1.04,0.76,0.47166,11383.2,7833.6,-999
1940-07-16,27.3,18.6,0.0061,1.58,0.86,0.39812,7614,8575.2,-999
1940-07-17,23.9,18.8,0.0232,1.28,0.95,0.30294,4096.8,8197.2,-999
1940-07-18,25.6,17.8,8e-04,1.45,0.89,0.37185,7182,7876.8,-999
1940-07-19,29.6,18.3,0,0.98,0.78,0.59788,17636.4,6523.2,-999
1940-07-20,31,19.3,0,1.54,0.78,0.60654,18788.4,5666.4,-999
1940-07-21,32.1,20.8,4e-04,2.3,0.79,0.64599,20473.2,5511.6,-999
1940-07-22,32.1,20.6,0,2.48,0.76,0.64674,20534.4,5418,-999
1940-07-23,31.5,21,0.0013,2.3,0.79,0.60302,18410.4,5727.6,-999
1940-07-24,30.1,22.4,0.0034,2.45,0.8,0.55859,15548.4,6753.6,-999
1940-07-25,33.2,21.3,0,1.86,0.76,0.66186,21067.2,5288.4,-999
1940-07-26,34.2,21.9,2e-04,1.36,0.77,0.64118,19951.2,5511.6,-999
1940-07-27,33.9,22.5,0,1.5,0.76,0.61398,18165.6,6148.8,-999
1940-07-28,33.9,22.6,0.0028,1.35,0.77,0.60682,18410.4,5551.2,-999
1940-07-29,32.3,22.6,8e-04,0.87,0.83,0.58595,16862.4,6206.4,-999
1940-07-30,33,21.6,6e-04,1.63,0.79,0.59535,17118,6249.6,-999
1940-07-31,33.4,22.5,0.0048,1.92,0.77,0.59731,17064,6307.2,-999
1940-08-01,30.1,21.5,0,1.7,0.78,0.54542,13402.8,7869.6,-999
1940-08-02,26.7,18.2,0,2.84,0.6,0.67743,20743.2,5590.8,-999
1940-08-03,24.5,17.2,0,2.34,0.66,0.58569,15307.2,7383.6,-999
1940-08-04,24.5,19,6e-04,1.98,0.79,0.23908,2599.2,6631.2,-999
1940-08-05,28.3,20.5,0.0024,1.4,0.82,0.43139,10404,6192,-999
1940-08-06,29.7,20.5,0.0105,1.17,0.89,0.44949,10573.2,6656.4,-999
1940-08-07,24.7,21.2,0.0069,1.53,0.93,0.30251,2016,9536.4,-999
1940-08-08,26.3,18.7,0.0058,1.54,0.86,0.43719,8967.6,7664.4,-999
1940-08-09,26.9,20.1,7e-04,2.01,0.84,0.46436,9352.8,8244,-999
1940-08-10,25.6,17.1,2e-04,2.72,0.75,0.42005,9259.2,6595.2,-999
1940-08-11,25.3,19.6,0.0063,3.6,0.88,0.26548,3164.4,6814.8,-999
1940-08-12,26.6,21,0.0079,3.94,0.91,0.39209,7988.4,6688.8,-999
1940-08-13,24.3,20.5,0.0128,2.48,0.95,0.13058,446.4,4420.8,-999
1940-08-14,21.7,21,0.0643,3.74,0.99,0.03162,3.6,1170,-999
1940-08-15,25,20.1,0.0172,4.2,0.96,0.18123,1958.4,4737.6,-999
1940-08-16,22.4,20.9,0.0153,3.35,0.99,0.09621,104.4,3434.4,-999
1940-08-17,26.5,21.5,0.0043,1.91,0.95,0.33118,6289.2,5835.6,-999
1940-08-18,28.9,21.2,0.0019,1,0.89,0.43017,7714.8,7959.6,-999
1940-08-19,26.1,22,9e-04,3.34,0.79,0.5896,15001.2,6379.2,-999
1940-08-20,21.9,14.3,0,2.27,0.67,0.51079,10483.2,7948.8,-999
1940-08-21,21.9,15.6,0,1.69,0.69,0.36176,5832,7156.8,-999
1940-08-22,25.1,16.9,0.0012,1.5,0.77,0.5318,13024.8,5972.4,-999
1940-08-23,26.8,14.6,0,1.67,0.73,0.72371,21214.8,4503.6,-999
1940-08-24,26.2,15.1,0,1.07,0.76,0.59047,14871.6,6001.2,-999
1940-08-25,24.7,17.2,0.001,1.6,0.89,0.23806,1598.4,6771.6,-999
1940-08-26,27.9,19.7,1e-04,2,0.86,0.41449,6872.4,7621.2,-999
1940-08-27,28.8,18.6,0.0042,1.44,0.87,0.54602,12574.8,6411.6,-999
1940-08-28,30.5,20.6,0.0036,1.19,0.89,0.5637,13032,6458.4,-999
1940-08-29,26.3,20.9,0.0066,2.07,0.95,0.34307,5162.4,6631.2,-999
1940-08-30,23.8,20.7,0.0157,2.51,0.97,0.09502,194.4,3052.8,-999
1940-08-31,26.8,20.8,0.0138,0.86,0.93,0.35765,5162.4,6987.6,-999
1940-09-01,26.3,18,0,2.63,0.78,0.61326,14648.4,6058.8,-999
1940-09-02,26,14.9,0,1.48,0.75,0.52286,11167.2,6379.2,-999
1940-09-03,26.4,15.9,0,1.26,0.77,0.55648,11728.8,6829.2,-999
1940-09-04,25.1,15.8,9e-04,1.33,0.8,0.49366,9630,6728.4,-999
1940-09-05,26.7,16.7,3e-04,1.01,0.81,0.54541,11941.2,6015.6,-999
1940-09-06,24.3,17.5,0.0013,1.2,0.82,0.52775,11592,5670,-999
1940-09-07,24.7,14.7,0,1.16,0.76,0.67853,16945.2,5101.2,-999
1940-09-08,27,14.1,0,2.12,0.77,0.66484,16920,4536,-999
1940-09-09,26.2,18.1,0,3.33,0.72,0.5955,11660.4,7426.8,-999
1940-09-10,23.8,18.8,0,3.45,0.75,0.48101,9057.6,6253.2,-999
1940-09-11,18.9,13.3,1e-04,2.33,0.61,0.52622,10846.8,5785.2,-999
1940-09-12,18.3,8.9,0,2.5,0.58,0.66535,15516,5364,-999
1940-09-13,20.1,7,0,1.54,0.66,0.73952,19015.2,4024.8,-999
1940-09-14,22.4,9.1,0,1.24,0.68,0.68886,15494.4,5810.4,-999
1940-09-15,25,10.2,0,1,0.73,0.63677,14043.6,5504.4,-999
1940-09-16,22.8,10.4,0,2.12,0.73,0.70774,16974,4590,-999
1940-09-17,22.6,11.7,1e-04,1.68,0.76,0.48575,8240.4,6447.6,-999
1940-09-18,22.9,13.6,0,1.59,0.78,0.44116,7102.8,6134.4,-999
1940-09-19,26.6,13.7,0,1.07,0.77,0.65525,15040.8,4467.6,-999
1940-09-20,27.8,13.4,0,1.32,0.76,0.69506,16668,3862.8,-999
1940-09-21,29.9,15.6,0,2.3,0.74,0.70652,16923.6,3780,-999
1940-09-22,26.8,16.9,0,3,0.69,0.71522,16923.6,3866.4,-999
1940-09-23,25,13.9,0,1.6,0.72,0.49658,6721.2,7596,-999
1940-09-24,28.1,16.1,0.0036,2.07,0.8,0.5343,9183.6,6094.8,-999
1940-09-25,22.4,13.2,0.0353,4.69,0.85,0.3651,5504.4,4849.2,-999
1940-09-26,15.6,6.2,0,3.07,0.53,0.74136,16250.4,4597.2,-999
1940-09-27,16.7,5.3,0,1.96,0.64,0.75479,17416.8,3628.8,-999
1940-09-28,18.4,6.7,0,1.81,0.7,0.73823,16563.6,3844.8,-999
1940-09-29,19.7,7,0,1.81,0.72,0.70853,14234.4,5184,-999
1940-09-30,19.5,8.7,0,3,0.68,0.67777,13694.4,4719.6,-999
1940-10-01,18.6,9.2,0,2.19,0.71,0.5708,10022.4,5349.6,-999
1940-10-02,20.1,8.4,0,3.19,0.68,0.74663,16556.4,3373.2,-999
1940-10-03,21.4,8,0,2.5,0.7,0.74041,16178.4,3409.2,-999
1940-10-04,23,8.9,0,1.61,0.75,0.72308,15476.4,3481.2,-999
1940-10-05,23.2,10.4,0,1.65,0.7,0.62783,11048.4,5263.2,-999
1940-10-06,26.2,11.4,0,1.21,0.74,0.66226,11768.4,5281.2,-999
1940-10-07,24.3,13.7,0,2.6,0.72,0.51427,5061.6,8056.8,-999
1940-10-08,19.8,12.1,0.0079,2.31,0.79,0.50566,6530.4,6249.6,-999
1940-10-09,19.1,8.8,0,2.2,0.64,0.74186,15206.4,3369.6,-999
1940-10-10,19.3,6.2,0,1.36,0.71,0.74391,15210,3243.6,-999
1940-10-11,20.9,6.2,0,1.39,0.66,0.70011,12607.2,4597.2,-999
1940-10-12,21.9,8,5e-04,1.81,0.7,0.74033,14907.6,3114,-999
1940-10-13,24.3,8.8,0,2.12,0.73,0.72455,14310,3160.8,-999
1940-10-14,25.2,10.7,0,2.03,0.77,0.69261,12488.4,4053.6,-999
1940-10-15,22.9,12.9,3e-04,2.35,0.75,0.44102,3484.8,6948,-999
1940-10-16,15.2,6.5,0.0136,3.19,0.88,0.07191,25.2,1659.6,-999
1940-10-17,15.7,6.7,5e-04,2.17,0.69,0.59386,9928.8,3852,-999
1940-10-18,12.5,7,0,3.6,0.63,0.59759,8038.8,5695.2,-999
1940-10-19,9.2,4.9,0.0077,1.83,0.8,0.30684,1976.4,5007.6,-999
1940-10-20,12.3,5.8,0.003,1.2,0.86,0.22391,255.6,4791.6,-999
1940-10-21,16,3.5,0,1.58,0.79,0.7023,12301.2,3376.8,-999
1940-10-22,15.2,4.1,0,1.78,0.75,0.67544,11534.4,3398.4,-999
1940-10-23,22.4,6.3,0,1.65,0.78,0.71607,12686.4,2991.6,-999
1940-10-24,23.1,8.7,0,2.49,0.79,0.64718,9738,4294.8,-999
1940-10-25,24.3,10.3,0,2.26,0.79,0.68047,11491.2,3121.2,-999
1940-10-26,22.8,11.3,0,2.7,0.71,0.71266,12376.8,2779.2,-999
1940-10-27,23.3,9.8,0,1.23,0.79,0.62711,9486,3722.4,-999
1940-10-28,21,10.4,0,1.85,0.85,0.62266,9392.4,3596.4,-999
1940-10-29,17.1,11.2,5e-04,1.99,0.84,0.28228,666,5166,-999
1940-10-30,21,13.7,0.005,2.64,0.86,0.4574,5659.2,3700.8,-999
1940-10-31,17.4,5.2,0,1.69,0.63,0.66658,8265.6,5245.2,-999
1940-11-01,12.5,9.7,0.0111,2.2,0.78,0.10256,43.2,2016,-999
1940-11-02,15.9,9.9,0.0069,3.93,0.77,0.74576,12164.4,2667.6,-999
1940-11-03,17.8,7.9,0,3.82,0.54,0.74365,12070.8,2581.2,-999
1940-11-04,21.9,6.1,0,2,0.66,0.73605,11815.2,2552.4,-999
1940-11-05,21.9,8.1,0,2.27,0.68,0.72689,11260.8,2797.2,-999
1940-11-06,16.3,7.1,0,5.27,0.59,0.71237,10267.2,3384,-999
1940-11-07,9.9,2.9,0,4.97,0.55,0.74959,11750.4,2484,-999
1940-11-08,8.7,2.3,0,5.41,0.54,0.74911,11451.6,2646,-999
1940-11-09,11.6,-0.9,0,2.17,0.63,0.74154,11354.4,2476.8,-999
1940-11-10,12.4,4,1e-04,1.92,0.7,0.31622,2113.2,3733.2,-999
1940-11-11,15.6,8.6,0.006,3.76,0.92,0.1534,514.8,2296.8,-999
1940-11-12,15.8,9.7,0.0011,3.95,0.64,0.31837,2484,3301.2,-999
1940-11-13,9.4,5.5,0.0333,1.91,0.87,0.06034,3.6,1083.6,-999
1940-11-14,8.8,6.6,0.0072,1.3,0.87,0.13781,129.6,2332.8,-999
